position,track_name,artist,streams,danceability,energy,loudness,valence,tempo
1,"in my feelings",Drake,67499798,0.835,0.626,-5.832999999999999,0.35,91.03
2,"god is a woman","Ariana Grande",29847494,0.602,0.6579999999999999,-5.934,0.268,145.031
3,"girls like you","Maroon 5",29296811,0.851,0.541,-6.825,0.44799999999999995,124.959
5,"i like it","Cardi B",27369377,0.816,0.726,-3.998,0.65,136.048
6,"lucid dreams","Juice WRLD",26990092,0.511,0.5660000000000001,-7.23,0.218,83.90299999999999
7,sad!,XXXTENTACION,26233409,0.74,0.613,-4.88,0.473,75.023
8,taste,Tyga,24591233,0.884,0.5589999999999999,-7.442,0.342,97.994
9,"one kiss","Calvin Harris",24377017,0.7909999999999999,0.862,-3.24,0.5920000000000001,123.994
10,solo,"Clean Bandit",24095921,0.737,0.636,-4.546,0.565,105.005
11,"better now","Post Malone",23691320,0.68,0.563,-5.843,0.374,145.028
12,nonstop,Drake,23619963,0.912,0.41200000000000003,-8.074,0.42200000000000004,154.983
13,"jackie chan",Tiësto,21601280,0.747,0.8340000000000001,-2.867,0.687,128.005
14,youngblood,"5 Seconds of Summer",20894857,0.596,0.8540000000000001,-5.114,0.152,120.274
16,rise,"Jonas Blue",18154570,0.687,0.785,-4.65,0.655,106.046
17,moonlight,XXXTENTACION,18124958,0.9209999999999999,0.537,-5.723,0.711,128.009
18,"god's plan",Drake,18033171,0.754,0.449,-9.211,0.35700000000000004,77.169
19,"nice for what",Drake,17875542,0.586,0.909,-6.474,0.757,93.39399999999999
23,"no tears left to cry","Ariana Grande",16510055,0.6990000000000001,0.713,-5.507000000000001,0.354,121.993
24,"sin pijama","Becky G",14962055,0.7909999999999999,0.745,-3.695,0.82,94.014
26,changes,XXXTENTACION,13677774,0.669,0.308,-10.068,0.52,64.934
29,"jocelyn flores",XXXTENTACION,13017221,0.872,0.391,-9.144,0.43700000000000006,134.02100000000002
30,2002,Anne-Marie,12993637,0.6970000000000001,0.6829999999999999,-2.8810000000000002,0.603,96.133
31,nevermind,"Dennis Lloyd",12831612,0.5920000000000001,0.691,-8.354,0.0796,99.976
32,body,"Loud Luxury",12786242,0.752,0.764,-4.399,0.5820000000000001,121.958
33,x,"Nicky Jam",12535735,0.595,0.773,-4.736000000000001,0.711,180.07299999999998
34,eastside,"benny blanco",12037645,0.56,0.68,-7.648,0.319,89.391
