,position,track_name,artist,streams,url
0,1,in my feelings,Drake,67499798,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
1,2,god is a woman,Ariana Grande,29847494,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
2,3,girls like you,Maroon 5,29296811,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,4,don’t matter to me,Drake,28813636,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
4,5,i like it,Cardi B,27369377,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
5,6,lucid dreams,Juice WRLD,26990092,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,7,sad!,XXXTENTACION,26233409,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,8,taste,Tyga,24591233,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
8,9,one kiss,Calvin Harris,24377017,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
9,10,solo,Clean Bandit,24095921,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,11,better now,Post Malone,23691320,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,12,nonstop,Drake,23619963,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
12,13,jackie chan,Tiësto,21601280,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
13,14,youngblood,5 Seconds of Summer,20894857,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
14,15,ocean,Martin Garrix,18993111,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
15,16,rise,Jonas Blue,18154570,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
16,17,moonlight,XXXTENTACION,18124958,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,18,god's plan,Drake,18033171,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
18,19,nice for what,Drake,17875542,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
19,20,te boté - remix,Nio Garcia,17775281,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
20,21,back to you - from 13 reasons why – season 2 soundtrack,Selena Gomez,16951697,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
21,22,summertime magic,Childish Gambino,16749909,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
22,23,no tears left to cry,Ariana Grande,16510055,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
23,24,sin pijama,Becky G,14962055,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
24,25,born to be yours,Kygo,13905970,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
25,26,changes,XXXTENTACION,13677774,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
26,27,bed,Nicki Minaj,13496542,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
27,28,i'm upset,Drake,13021806,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
28,29,jocelyn flores,XXXTENTACION,13017221,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
29,30,2002,Anne-Marie,12993637,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
30,31,nevermind,Dennis Lloyd,12831612,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
31,32,body,Loud Luxury,12786242,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
32,33,x,Nicky Jam,12535735,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
33,34,eastside,benny blanco,12037645,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
34,35,psycho,Post Malone,12015987,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
35,36,rockstar,Post Malone,11617067,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
36,37,apeshit,The Carters,11444526,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
37,38,no es justo,J Balvin,11315737,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
38,39,x - remix,Nicky Jam,11274253,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
39,40,praise the lord,A$AP Rocky,11069141,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
40,41,flames,David Guetta,10913185,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
41,42,yes indeed,Lil Baby,10866436,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
42,43,la cintura,Alvaro Soler,10848362,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
