position,track_name,artist,streams,danceability,energy,loudness,valence,tempo
1,havana,"Camila Cabello",30948101,0.765,0.523,-4.333,0.39399999999999996,104.988
2,rockstar,"Post Malone",27643632,0.5870000000000001,0.535,-6.09,0.14,159.847
3,river,Eminem,22610091,0.748,0.7490000000000001,-5.916,0.659,90.09
4,"never be the same","Camila Cabello",22147865,0.637,0.713,-4.333,0.243,129.923
6,wolves,"Selena Gomez",19988924,0.72,0.807,-4.59,0.305,124.946
7,"new rules","Dua Lipa",18995153,0.762,0.7,-6.021,0.608,116.073
9,"him & i",G-Eazy,18382651,0.589,0.731,-6.343,0.191,87.90799999999999
10,"let you down",NF,18001200,0.6559999999999999,0.721,-5.665,0.46799999999999997,148.066
11,perfect,"Ed Sheeran",17656931,0.599,0.44799999999999995,-6.312,0.168,95.05
12,"what lovers do","Maroon 5",15740695,0.799,0.597,-5.131,0.419,110.001
13,"all the stars","Kendrick Lamar",15234862,0.698,0.633,-4.946000000000001,0.552,96.92399999999999
14,"i fall apart","Post Malone",14771304,0.556,0.5379999999999999,-5.4079999999999995,0.29100000000000004,143.95
15,"shape of you","Ed Sheeran",14554752,0.825,0.652,-3.1830000000000003,0.9309999999999999,95.977
16,"let me go","Hailee Steinfeld",14468450,0.6629999999999999,0.708,-4.154,0.742,103.073
17,"perfect duet","Ed Sheeran",14299195,0.5870000000000001,0.299,-7.365,0.35600000000000004,94.992
18,silence,Marshmello,14092774,0.52,0.7609999999999999,-3.093,0.28600000000000003,141.971
19,"too good at goodbyes","Sam Smith",13975396,0.698,0.375,-8.279,0.534,91.92
21,idgaf,"Dua Lipa",13574219,0.836,0.544,-5.975,0.51,97.02799999999999
23,"i miss you","Clean Bandit",12895814,0.638,0.6579999999999999,-6.318,0.33,105.07600000000001
24,downtown,Anitta,12734008,0.775,0.679,-4.985,0.619,166.00799999999998
25,"meant to be","Bebe Rexha",12557300,0.642,0.772,-6.61,0.589,153.995
27,"dusk till dawn - radio edit",ZAYN,12324517,0.258,0.43700000000000006,-6.593,0.0967,180.043
29,"rewrite the stars","Zac Efron",12070167,0.684,0.619,-7.005,0.284,125.046
32,criminal,"Natti Natasha",11418342,0.8140000000000001,0.813,-3.023,0.8390000000000001,79.997
34,thunder,"Imagine Dragons",11188503,0.605,0.8220000000000001,-4.833,0.28800000000000003,167.997
35,"this is me","Keala Settle",11134991,0.284,0.7040000000000001,-7.276,0.1,191.702
38,"xo tour llif3","Lil Uzi Vert",10578589,0.732,0.75,-6.3660000000000005,0.401,155.096
39,"young dumb & broke",Khalid,10306613,0.7979999999999999,0.539,-6.351,0.39399999999999996,136.94899999999998
40,"feel it still","Portugal. The Man",10202313,0.8009999999999999,0.795,-5.115,0.754,79.028
41,"ric flair drip",Offset,10189456,0.88,0.428,-8.28,0.33299999999999996,100.007
42,"candy paint","Post Malone",10139620,0.67,0.654,-5.944,0.43799999999999994,180.024
44,congratulations,"Post Malone",10024863,0.63,0.804,-4.183,0.49200000000000005,123.146
46,humble.,"Kendrick Lamar",9366493,0.9079999999999999,0.621,-6.638,0.42100000000000004,150.011
60,bella,Wolfine,8024738,0.909,0.493,-6.688,0.8440000000000001,94.016
67,"i like me better",Lauv,7354703,0.752,0.505,-7.621,0.419,91.97
71,believer,"Imagine Dragons",7197913,0.7759999999999999,0.78,-4.374,0.6659999999999999,124.949
87,"jocelyn flores",XXXTENTACION,6389648,0.872,0.391,-9.144,0.43700000000000006,134.02100000000002
90,"stir fry",Migos,6353429,0.815,0.816,-5.474,0.498,181.967
92,friends,"Justin Bieber",6259161,0.626,0.88,-2.384,0.534,95.079
128,"fuck love",XXXTENTACION,4947656,0.797,0.5329999999999999,-9.74,0.32899999999999996,131.036
162,happier,"Ed Sheeran",4283521,0.687,0.792,-2.7489999999999997,0.6709999999999999,100.015
195,"everybody dies in their nightmares",XXXTENTACION,3707309,0.7340000000000001,0.57,-7.066,0.6890000000000001,129.953
