,Unnamed: 0,id,track_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0,6DCZcSspjsKoFjzjrWoCd,god's plan,Drake,0.754,0.449,7,-9.211,1,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,198973,4
1,1,3ee8Jmje8o58CHK66QrVC,sad!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023,166606,4
2,2,0e7ipj03S05BNilyu5bRz,rockstar,Post Malone,0.5870000000000001,0.535,5,-6.09,0,0.0898,0.11699999999999999,6.56e-05,0.131,0.14,159.847,218147,4
3,3,3swc6WTsr7rl9DqQKQA55,psycho,Post Malone,0.7390000000000001,0.5589999999999999,8,-8.011000000000001,1,0.11699999999999999,0.58,0.0,0.11199999999999999,0.439,140.124,221440,4
4,4,2G7V7zsVDxg1yRsu7Ew9R,in my feelings,Drake,0.835,0.626,1,-5.832999999999999,1,0.125,0.0589,5.9999999999999995e-05,0.396,0.35,91.03,217925,4
5,5,7dt6x5M1jzdTEt8oCbisT,better now,Post Malone,0.68,0.563,10,-5.843,1,0.0454,0.354,0.0,0.136,0.374,145.028,231267,4
6,6,58q2HKrzhC3ozto2nDdN4,i like it,Cardi B,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.37200000000000005,0.65,136.048,253390,4
7,7,7ef4DlsgrMEH11cDZd32M,one kiss,Calvin Harris,0.7909999999999999,0.862,9,-3.24,0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,214847,4
8,8,76cy1WJvNGJTj78UqeA5z,idgaf,Dua Lipa,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,217947,4
9,9,08bNPGLD8AhKpnnERrAc6,friends,Marshmello,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4
10,10,1rfofaqEpACxVEHIZBJe6,havana,Camila Cabello,0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,217307,4
11,11,0s3nnoMeVWz3989MkNQiR,lucid dreams,Juice WRLD,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,239836,4
12,12,3CA9pLiwRIGtUBiMjbZmR,nice for what,Drake,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.11900000000000001,0.757,93.39399999999999,210747,4
13,13,7fa9MBXhVfQ8P8Df9OEbD,girls like you,Maroon 5,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.44799999999999995,124.959,235545,4
14,14,09IStsImFySgyp0pIQdqA,the middle,Zedd,0.753,0.657,7,-3.0610000000000004,1,0.0449,0.171,0.0,0.11199999999999999,0.43700000000000006,107.01,184732,4
15,15,3GCdLUSnKSMJhs4Tj6CV3,all the stars,Kendrick Lamar,0.698,0.633,8,-4.946000000000001,1,0.0597,0.0605,0.000194,0.0926,0.552,96.92399999999999,232187,4
16,16,2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,0.6990000000000001,0.713,9,-5.507000000000001,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4
17,17,39N9RPD9MRb5WmoLzNzPe,x,Nicky Jam,0.595,0.773,9,-4.736000000000001,0,0.0549,0.0364,0.00108,0.33399999999999996,0.711,180.07299999999998,173628,4
18,18,0JP9xo3adEtGSdUEISisz,moonlight,XXXTENTACION,0.9209999999999999,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
19,19,4qKcDkK6siZ7Jp1Jb4m0a,look alive,BlocBoy JB,0.922,0.581,10,-7.495,1,0.27,0.0010400000000000001,5.8599999999999995e-05,0.105,0.595,140.02200000000002,181263,4
20,20,5CLGzJsGqhCEECcpnFQA8,these days,Rudimental,0.653,0.809,0,-4.0569999999999995,1,0.0474,0.19399999999999998,0.0,0.165,0.55,92.213,210773,4
21,21,3V8UKqhEK5zBkBb6d6ub8,te bot? - remix,Nio Garcia,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4
22,22,7uzmGiiJyRfuViKKK3lVm,mine,Bazzi,0.71,0.789,4,-3.8739999999999997,1,0.0722,0.0161,2.77e-06,0.451,0.7170000000000001,142.929,131064,4
23,23,2iUXsYOEPhVqEBwsqP70r,youngblood,5 Seconds of Summer,0.596,0.8540000000000001,7,-5.114,0,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274,203418,4
24,24,2xJCMIJfcNYDc5iR0sAm2,new rules,Dua Lipa,0.762,0.7,9,-6.021,0,0.0694,0.0026100000000000003,1.56e-05,0.153,0.608,116.073,209320,4
25,25,7qiZfU4dY1lWllzX7mPBI,shape of you,Ed Sheeran,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233713,4
26,26,45Egmo7icyopuzJN0oMEd,love lies,Khalid,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.33799999999999997,143.955,201707,4
27,27,4e4fqjx0Izh4svvTef1z7,meant to be,Bebe Rexha,0.642,0.772,10,-6.61,1,0.0848,0.0476,0.0,0.0646,0.589,153.995,164205,4
28,28,7m9OqQk4RVRkw9JJdeAw9,jocelyn flores,XXXTENTACION,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.43700000000000006,134.02100000000002,119133,4
