,position,track_name,artist,streams,url
0,1,havana,Camila Cabello,30948101,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
1,2,rockstar,Post Malone,27643632,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,3,river,Eminem,22610091,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
3,4,never be the same,Camila Cabello,22147865,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
4,5,finesse - remix; feat. cardi b,Bruno Mars,20387864,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,6,wolves,Selena Gomez,19988924,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
6,7,new rules,Dua Lipa,18995153,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
7,8,échame la culpa,Luis Fonsi,18805967,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
8,9,him & i,G-Eazy,18382651,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
9,10,let you down,NF,18001200,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
10,11,perfect,Ed Sheeran,17656931,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
11,12,what lovers do,Maroon 5,15740695,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
12,13,all the stars,Kendrick Lamar,15234862,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
13,14,i fall apart,Post Malone,14771304,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
14,15,shape of you,Ed Sheeran,14554752,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
15,16,let me go,Hailee Steinfeld,14468450,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
16,17,perfect duet,Ed Sheeran,14299195,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
17,18,silence,Marshmello,14092774,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
18,19,too good at goodbyes,Sam Smith,13975396,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
19,20,no limit,G-Eazy,13736849,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
20,21,idgaf,Dua Lipa,13574219,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
21,22,corazón,Maluma,13150393,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
22,23,i miss you,Clean Bandit,12895814,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
23,24,downtown,Anitta,12734008,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
24,25,meant to be,Bebe Rexha,12557300,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,26,bartier cardi,Cardi B,12397391,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
